Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Percentage of imports,Percentage of imports Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Normalized trade balance,Normalized trade balance Footnote
2017,3503,"Balance of payments: Current account - BPM6",417,"Kyrgyzstan",14,"Balance",-2410.172,,-57.94436,,-31.28899,,-0.4079,
2017,3503,"Balance of payments: Current account - BPM6",418,"Lao People's Dem. Rep.",14,"Balance",-938.717,,-16.66282,,-5.57,,-0.0909,
2017,3503,"Balance of payments: Current account - BPM6",422,"Lebanon",14,"Balance",-14242.757,,-81.07224,,-26.67493,,-0.6817,
2017,3503,"Balance of payments: Current account - BPM6",426,"Lesotho",14,"Balance",-798.977,,-43.72382,,-30.98355,,-0.2798,
2017,3503,"Balance of payments: Current account - BPM6",428,"Latvia",14,"Balance",-2507.892,,-15.96663,,-8.28425,,-0.0868,
2017,3503,"Balance of payments: Current account - BPM6",430,"Liberia",14,"Balance",-808.946,,-81.06568,,-37.70661,,-0.6816,
2017,3503,"Balance of payments: Current account - BPM6",434,"Libya",14,"Balance",8308.4,,78.70635,,33.0745,,0.2824,
2017,3503,"Balance of payments: Current account - BPM6",440,"Lithuania",14,"Balance",-2317.88,,-8.26832,,-4.85411,,-0.0431,
2017,3503,"Balance of payments: Current account - BPM6",442,"Luxembourg",14,"Balance",-1965.645,,-8.26132,,-3.06261,,-0.0431,
2017,3503,"Balance of payments: Current account - BPM6",446,"China, Macao SAR",14,"Balance",-10577.042,,-85.83796,,-20.92002,,-0.7519,
2017,3503,"Balance of payments: Current account - BPM6",450,"Madagascar",14,"Balance",-449.927,,-13.82561,,-3.41467,,-0.0743,
2017,3503,"Balance of payments: Current account - BPM6",454,"Malawi",14,"Balance",-1576.858,,-63.41628,,-24.84135,,-0.4643,
2017,3503,"Balance of payments: Current account - BPM6",458,"Malaysia",14,"Balance",29790.99,,19.02267,,9.34018,,0.0869,
2017,3503,"Balance of payments: Current account - BPM6",462,"Maldives",14,"Balance",-1908.13,,-85.70206,,-40.2899,,-0.7498,
2017,3503,"Balance of payments: Current account - BPM6",466,"Mali",14,"Balance",-703.592,,-19.54504,,-4.57599,,-0.1083,
2017,3503,"Balance of payments: Current account - BPM6",470,"Malta",14,"Balance",-1687.292,,-33.15869,,-13.20216,,-0.1987,
2017,3503,"Balance of payments: Current account - BPM6",478,"Mauritania",14,"Balance",-741.38,,-35.40612,,-10.49727,,-0.2151,
2017,3503,"Balance of payments: Current account - BPM6",480,"Mauritius",14,"Balance",-2610.959,,-52.71882,,-19.69146,,-0.3579,
2017,3503,"Balance of payments: Current account - BPM6",484,"Mexico",14,"Balance",-10983.8,,-2.61028,,-0.94833,,-0.0132,
2017,3503,"Balance of payments: Current account - BPM6",496,"Mongolia",14,"Balance",894.378,,20.58609,,7.82234,,0.0933,
2017,3503,"Balance of payments: Current account - BPM6",498,"Moldova, Republic of",14,"Balance",-2553.75,,-57.71395,,-26.4097,,-0.4056,
2017,3503,"Balance of payments: Current account - BPM6",499,"Montenegro",14,"Balance",-2106.363,,-82.80044,,-43.37103,,-0.7065,
2017,3503,"Balance of payments: Current account - BPM6",500,"Montserrat",14,"Balance",-23.083,,-79.60348,,-38.49718,,-0.6612,
2017,3503,"Balance of payments: Current account - BPM6",504,"Morocco",14,"Balance",-18136.537,,-45.84569,,-16.53069,,-0.2974,
2017,3503,"Balance of payments: Current account - BPM6",508,"Mozambique",14,"Balance",-497.786,,-9.5305,,-3.76567,,-0.05,
2017,3503,"Balance of payments: Current account - BPM6",5100,"Africa",14,"Balance",-58297.551,,-12.06886,,-2.61077,,-0.0642,
2017,3503,"Balance of payments: Current account - BPM6",5110,"Northern Africa",14,"Balance",-62535.959,,-34.92407,,-9.45803,,-0.2116,
2017,3503,"Balance of payments: Current account - BPM6",512,"Oman",14,"Balance",8764.47,,36.33493,,11.05554,,0.1537,
2017,3503,"Balance of payments: Current account - BPM6",5120,"Sub-Saharan Africa",14,"Balance",4238.407,,1.39431,,0.26733,,0.0069,
2017,3503,"Balance of payments: Current account - BPM6",5121,"Eastern Africa",14,"Balance",-34280.89,,-41.66081,,-9.41471,,-0.2631,
2017,3503,"Balance of payments: Current account - BPM6",5122,"Middle Africa",14,"Balance",26228.45,,62.74228,,10.66377,,0.2388,
2017,3503,"Balance of payments: Current account - BPM6",5123,"Southern Africa",14,"Balance",2942.734,,3.03608,,0.76039,,0.015,
2017,3503,"Balance of payments: Current account - BPM6",5124,"Western Africa",14,"Balance",9348.114,,11.2677,,1.61729,,0.0533,
2017,3503,"Balance of payments: Current account - BPM6",516,"Namibia",14,"Balance",-2087.816,,-37.81054,,-15.38984,,-0.2331,
2017,3503,"Balance of payments: Current account - BPM6",520,"Nauru",14,"Balance",-19,"Estimated",-44.18605,"Estimated",-14.20095,"Estimated",-0.2836,"Estimated"
2017,3503,"Balance of payments: Current account - BPM6",5200,"America",14,"Balance",-799439.723,,-21.14649,,-2.96595,,-0.1182,
2017,3503,"Balance of payments: Current account - BPM6",5210,"Northern America",14,"Balance",-819276.527,,-29.25155,,-3.849,,-0.1713,
2017,3503,"Balance of payments: Current account - BPM6",5220,"Latin America and the Caribbean",14,"Balance",19836.804,,2.02481,,0.35023,,0.01,
2017,3503,"Balance of payments: Current account - BPM6",5221,"Caribbean",14,"Balance",-28940.201,,-53.35862,,-11.20057,,-0.3639,
2017,3503,"Balance of payments: Current account - BPM6",5222,"Central America",14,"Balance",-44278.793,,-8.84856,,-3.12259,,-0.0463,
2017,3503,"Balance of payments: Current account - BPM6",5223,"South America",14,"Balance",93055.798,,21.89326,,2.32941,,0.0987,
2017,3503,"Balance of payments: Current account - BPM6",524,"Nepal",14,"Balance",-9364.704,,-91.80729,,-36.59881,,-0.8486,
2017,3503,"Balance of payments: Current account - BPM6",528,"Netherlands",14,"Balance",81273.783,,18.50283,,9.74658,,0.0847,
2017,3503,"Balance of payments: Current account - BPM6",5300,"Asia",14,"Balance",794580.918,,12.32699,,2.6881,,0.0581,
2017,3503,"Balance of payments: Current account - BPM6",531,"Curaçao",14,"Balance",-1043.804,,-71.05734,,-33.49146,,-0.5511,
2017,3503,"Balance of payments: Current account - BPM6",5310,"Central Asia",14,"Balance",14111.313,,26.40117,,5.06251,,0.1166,
2017,3503,"Balance of payments: Current account - BPM6",5320,"Southern Asia",14,"Balance",-194516.192,,-29.07038,,-5.14977,,-0.1701,
2017,3503,"Balance of payments: Current account - BPM6",533,"Aruba",14,"Balance",-989.414,,-88.0251,,-32.37394,,-0.7861,
2017,3503,"Balance of payments: Current account - BPM6",5330,"Eastern Asia",14,"Balance",679882.372,,18.38872,,3.46186,,0.0842,
2017,3503,"Balance of payments: Current account - BPM6",534,"Sint Maarten (Dutch part)",14,"Balance",-638.19,,-83.84724,,-61.18791,,-0.7219,
2017,3503,"Balance of payments: Current account - BPM6",5340,"Western Asia",14,"Balance",151957.554,,17.36439,,4.93332,,0.0799,
2017,3503,"Balance of payments: Current account - BPM6",535,"Bonaire, Sint Eustatius and Saba",14,"Balance",-85.158,"Estimated",-98.84953,"Estimated",,,-0.9773,"Estimated"
2017,3503,"Balance of payments: Current account - BPM6",5350,"South-eastern Asia",14,"Balance",143145.871,,12.43771,,5.14198,,0.0585,
2017,3503,"Balance of payments: Current account - BPM6",540,"New Caledonia",14,"Balance",-803.878,"Estimated",-33.88526,"Estimated",-8.49877,"Estimated",-0.204,"Estimated"
